Date,Price
2025-04-05,120.1663457446031
2025-04-05,120.30573051002509
2025-04-05,120.28877956686136
2025-04-05,120.0132401594966
2025-04-05,119.85491248401966
2025-04-05,119.77148488308916
2025-04-05,120.24937679257728
2025-04-06,119.51186455794604
2025-04-06,119.10049038135055
2025-04-06,119.4046853150132
2025-04-06,119.70476095821745
2025-04-06,119.03354936843863
2025-04-06,118.56277116517077
2025-04-06,116.8938461418654
2025-04-06,114.6393114655359
2025-04-06,115.27282059476511
2025-04-06,115.12453446687252
2025-04-06,114.09315088919973
2025-04-06,110.81748098792481
2025-04-06,107.88873765179993
2025-04-06,108.2175856481354
2025-04-06,106.58461560711298
2025-04-06,106.8852179032046
2025-04-06,105.54826153391609
2025-04-06,105.90979778268999
2025-04-06,105.16222621174728
2025-04-06,105.79209351509343
2025-04-06,105.66644026214774
2025-04-06,103.22313472130536
2025-04-06,101.88711243445897
2025-04-06,101.78529171302496
2025-04-07,97.17557336072119
2025-04-07,97.52290212144739
2025-04-07,100.5026486197797
2025-04-07,100.55612457766081
2025-04-07,100.38136822815513
2025-04-07,100.33421553577753
2025-04-07,102.27101081900403
2025-04-07,106.82415499700184
2025-04-07,107.84423097681767
2025-04-07,106.51641418746064
2025-04-07,103.99497428572508
2025-04-07,107.5658082580226
2025-04-07,106.27332836211906
2025-04-07,105.81429025931472
2025-04-07,107.36684203133937
2025-04-07,107.82514421852203
2025-04-07,108.72488805425218
2025-04-07,107.3934779919583
2025-04-07,106.88402540707884
2025-04-07,111.03823337639614
2025-04-07,111.30814117582541
2025-04-07,111.17534268320088
2025-04-07,111.20477380609252
2025-04-07,110.4961225050534
2025-04-08,108.75714212753822
2025-04-08,108.64061934315092
2025-04-08,108.01659409598692
2025-04-08,108.53724293272879
2025-04-08,109.03228147395198
2025-04-08,111.35819500058363
2025-04-08,109.91007204245635
2025-04-08,110.2496970431794
2025-04-08,108.32695642521932
2025-04-08,107.16034334598041
2025-04-08,104.20745791877954
2025-04-08,104.86821989525609
2025-04-08,105.6108649610777
2025-04-08,104.0291445342135
2025-04-08,105.73263928576569
2025-04-08,105.79691207714768
2025-04-08,105.30574117230223
2025-04-08,105.49815675205373
2025-04-08,104.74839489019936
2025-04-08,103.90944838590737
2025-04-08,103.53383614596788
2025-04-08,103.15799056151246
2025-04-08,105.04125943218831
2025-04-08,105.2944620097672
2025-04-09,105.8901784780917
2025-04-09,107.39034058332321
2025-04-09,107.1669025998931
2025-04-09,106.68371370176854
2025-04-09,106.72619368082297
2025-04-09,103.42879047744354
2025-04-09,104.52084012619991
2025-04-09,105.99353648321053
2025-04-09,105.87140784968209
2025-04-09,106.46625763390556
2025-04-09,108.02326580750632
2025-04-09,118.57184416828277
2025-04-09,117.90759643479299
2025-04-09,118.99085660292567
2025-04-09,119.8315410423246
2025-04-09,119.45923220555291
2025-04-09,119.22195825900522
2025-04-09,119.047588932082
2025-04-09,117.03036344191932
2025-04-09,116.94515954236424
2025-04-09,117.05645539716808
2025-04-09,115.36280010846815
2025-04-09,116.17743302726582
2025-04-09,116.34611636599423
2025-04-10,114.61079019889218
2025-04-10,114.62736346170429
2025-04-10,114.5305031268459
2025-04-10,114.1030922504836
2025-04-10,113.74995503870363
2025-04-10,113.81183570789152
2025-04-10,113.26654836843738
2025-04-10,112.9302812419007
2025-04-10,113.4378369261987
2025-04-10,109.80640266943347
2025-04-10,109.35624879526708
2025-04-10,110.42683344248975
2025-04-10,111.09061968203648
2025-04-10,111.38777457919534
2025-04-10,112.56099389048042
2025-04-10,112.23779904586203
2025-04-10,112.70494848689353
2025-04-10,112.76812456115995
2025-04-10,112.28307026355559
2025-04-10,113.65194980042244
2025-04-10,114.31061529455918
2025-04-10,115.44684641565692
2025-04-10,115.35677151085471
2025-04-10,115.75076677817897
2025-04-11,117.07611250434363
2025-04-11,116.51634588681365
2025-04-11,117.24353065320241
2025-04-11,118.01645441258582
2025-04-11,118.61117639234902
2025-04-11,117.96894790029944
2025-04-11,117.81015688059645
2025-04-11,120.4711731331085
2025-04-11,119.65760538219614
2025-04-11,119.81776700235186
2025-04-11,120.15368728420849
2025-04-11,121.36708540011637
2025-04-11,120.16345921979918
2025-04-11,120.70928410269462
2025-04-11,121.54938442281598
2025-04-11,121.11412520054573
2025-04-11,121.07424770307841
2025-04-11,121.40791436432416
2025-04-11,121.26762186573062
2025-04-11,121.14988872307363
2025-04-11,119.93971455621393
2025-04-11,120.18646462291333
2025-04-11,122.34970959032266
2025-04-11,122.36467035408383
2025-04-12,123.01699799014504
2025-04-12,124.06445099856273
2025-04-12,124.26529417601061
2025-04-12,124.59941342725803
2025-04-12,124.55940409669408
2025-04-12,124.53277304361951
2025-04-12,125.83510536513785
2025-04-12,128.16118199411804
2025-04-12,130.72473914789117
2025-04-12,130.67567563915492
2025-04-12,129.52194350824843
2025-04-12,129.22328067953222
2025-04-12,130.5460330076656
2025-04-12,130.78959654359144
2025-04-12,132.68236650792224
2025-04-12,132.6505428086091
2025-04-12,132.23656667696156
2025-04-12,132.2374047346463
2025-04-12,133.0107008687875
2025-04-12,131.3814766087711
2025-04-12,132.67162005531276
2025-04-12,131.85832494319914
2025-04-12,130.9562185033174
2025-04-12,129.88066326704237
2025-04-13,129.54150768444055
2025-04-13,128.51634726253613
2025-04-13,129.6570637974448
2025-04-13,131.252300530579
2025-04-13,130.77263894594068
2025-04-13,129.477533021412
2025-04-13,129.66470397871922
2025-04-13,127.58020348930341
2025-04-13,128.5495182617016
2025-04-13,128.6487002702333
2025-04-13,129.4696868809386
