Date,Price
2025-04-06,1799.6307752714176
2025-04-06,1797.5117465541487
2025-04-06,1794.3250437978866
2025-04-06,1790.1826036744876
2025-04-06,1789.2709971059512
2025-04-06,1789.114643994225
2025-04-06,1780.061395487873
2025-04-06,1749.859587047862
2025-04-06,1765.6265727420903
2025-04-06,1756.727373954113
2025-04-06,1737.663523014378
2025-04-06,1675.5697634244402
2025-04-06,1620.3216757769314
2025-04-06,1627.820963133028
2025-04-06,1574.8485493893695
2025-04-06,1587.400199993651
2025-04-06,1569.2502317173878
2025-04-06,1579.0366252686324
2025-04-06,1572.9546621100367
2025-04-06,1577.2224353717515
2025-04-06,1565.1872416501783
2025-04-06,1543.7195986582446
2025-04-06,1542.1405014686475
2025-04-06,1539.1343681109986
2025-04-07,1431.7317354788427
2025-04-07,1460.1188971347758
2025-04-07,1493.115630454946
2025-04-07,1487.765036007936
2025-04-07,1491.2079592407495
2025-04-07,1486.0197395366854
2025-04-07,1515.6760555564645
2025-04-07,1555.6202657817064
2025-04-07,1574.7623344333686
2025-04-07,1555.5145894643515
2025-04-07,1531.161143174932
2025-04-07,1566.5648149141439
2025-04-07,1552.5939219454385
2025-04-07,1543.62719075936
2025-04-07,1569.1290084604236
2025-04-07,1566.060939150459
2025-04-07,1577.9143266235733
2025-04-07,1559.033144324226
2025-04-07,1545.9965073253238
2025-04-07,1589.4781875632534
2025-04-07,1587.433571256241
2025-04-07,1582.9388271174212
2025-04-07,1593.7402813338936
2025-04-07,1589.5081752833983
2025-04-08,1576.4087961751945
2025-04-08,1568.6030176924403
2025-04-08,1565.41422380073
2025-04-08,1567.9861019608727
2025-04-08,1567.461828513284
2025-04-08,1585.158743096009
2025-04-08,1570.8989520894415
2025-04-08,1566.5822594492706
2025-04-08,1536.7393707592653
2025-04-08,1530.232743959875
2025-04-08,1486.7267307453815
2025-04-08,1479.79022044931
2025-04-08,1474.0968320977308
2025-04-08,1465.476595278921
2025-04-08,1478.0534038986498
2025-04-08,1474.6995604681726
2025-04-08,1464.1916779991018
2025-04-08,1472.0913986626454
2025-04-08,1462.5771439997247
2025-04-08,1430.3791903784584
2025-04-08,1421.8459890371487
2025-04-08,1417.3548396971037
2025-04-08,1439.624520978951
2025-04-08,1456.005481835613
2025-04-09,1462.9931072898971
2025-04-09,1484.6836862497428
2025-04-09,1479.3059548587523
2025-04-09,1479.2525492423724
2025-04-09,1487.1895788545642
2025-04-09,1454.009697853938
2025-04-09,1462.0541733047864
2025-04-09,1489.4620843877572
2025-04-09,1474.9756956905615
2025-04-09,1485.5789774077023
2025-04-09,1501.2146933764227
2025-04-09,1612.3027649058047
2025-04-09,1631.2756871894896
2025-04-09,1640.8830289237035
2025-04-09,1662.0227558580898
2025-04-09,1672.6973219065605
2025-04-09,1668.8850763920027
2025-04-09,1667.065136499343
2025-04-09,1642.0219005229399
2025-04-09,1636.4754111543862
2025-04-09,1634.3886406450013
2025-04-09,1610.8155533221197
2025-04-09,1621.158711016868
2025-04-09,1618.6424586971982
2025-04-10,1593.1487806169844
2025-04-10,1591.0134626922077
2025-04-10,1590.5117591784185
2025-04-10,1592.5110264398857
2025-04-10,1587.2489308190861
2025-04-10,1592.9332467243082
2025-04-10,1592.7089123491185
2025-04-10,1573.7319379017276
2025-04-10,1569.4207455322828
2025-04-10,1501.1248472301354
2025-04-10,1507.6805806308703
2025-04-10,1509.5122743804031
2025-04-10,1518.104264103272
2025-04-10,1518.5308649601548
2025-04-10,1529.4643317661541
2025-04-10,1523.7207535690857
2025-04-10,1525.0304095343854
2025-04-10,1521.3245487030365
2025-04-10,1510.667697486076
2025-04-10,1539.2395572310618
2025-04-10,1535.9051542755703
2025-04-10,1542.7191125656489
2025-04-10,1546.200169622373
2025-04-10,1548.1032524034486
2025-04-11,1553.024051950001
2025-04-11,1553.08352753589
2025-04-11,1548.4087342258329
2025-04-11,1561.6617684401147
2025-04-11,1566.4786337655585
2025-04-11,1558.4677866905242
2025-04-11,1556.0948779987916
2025-04-11,1568.1479534180808
2025-04-11,1556.9152331079636
2025-04-11,1564.3966313336027
2025-04-11,1567.7499795761942
2025-04-11,1580.7741146123458
2025-04-11,1564.4678682856136
2025-04-11,1565.26737813283
2025-04-11,1571.0164769705887
2025-04-11,1573.0779826903365
2025-04-11,1566.1193095553028
2025-04-11,1567.256910374535
2025-04-11,1562.0031466106143
2025-04-11,1554.1209584493392
2025-04-11,1549.0539856066391
2025-04-11,1554.6859034191327
2025-04-11,1565.9805844613315
2025-04-11,1567.6052792894895
2025-04-12,1572.737830874852
2025-04-12,1581.4438109407774
2025-04-12,1593.5934996536116
2025-04-12,1596.880868813545
2025-04-12,1592.7311261027994
2025-04-12,1592.2875732729676
2025-04-12,1603.276315509424
2025-04-12,1634.1839782956745
2025-04-12,1654.93736648218
2025-04-12,1657.3552467517923
2025-04-12,1644.1702834637751
2025-04-12,1635.0302373501033
2025-04-12,1651.1671649123248
2025-04-12,1640.6449219365388
2025-04-12,1649.496520253005
2025-04-12,1649.6083848950868
2025-04-12,1650.4492765830848
2025-04-12,1644.2784770464837
2025-04-12,1643.1315612984165
2025-04-12,1623.749146250073
2025-04-12,1623.227686680362
2025-04-12,1624.8647024053184
2025-04-12,1613.177117294942
2025-04-12,1608.5534632818253
2025-04-13,1618.8540533686526
2025-04-13,1613.431422813492
2025-04-13,1619.2118713228406
2025-04-13,1625.1548094515974
2025-04-13,1617.070106476903
2025-04-13,1601.9493583292365
2025-04-13,1603.1625324326158
2025-04-13,1574.108652903949
2025-04-13,1584.2106848229942
