Date,Price
2025-04-06,83089.49111405638
2025-04-06,82975.83411105986
2025-04-06,83007.51033558365
2025-04-06,83027.183569238
2025-04-06,82814.296001643
2025-04-06,82806.57594457337
2025-04-06,82640.53404661184
2025-04-06,82259.21568163771
2025-04-06,82583.11633305943
2025-04-06,82409.48424398851
2025-04-06,81902.07701788642
2025-04-06,80308.20456629425
2025-04-06,78970.01327663523
2025-04-06,79727.02415711907
2025-04-06,78831.61045651248
2025-04-06,78898.16417534047
2025-04-06,77918.79195001676
2025-04-06,78366.83212378949
2025-04-06,78387.6912670073
2025-04-06,78393.60272692906
2025-04-06,78102.0875366474
2025-04-06,77583.13554332654
2025-04-06,76710.56508400357
2025-04-06,76867.82910572468
2025-04-07,74773.2587934775
2025-04-07,75161.94887573915
2025-04-07,76178.35448995476
2025-04-07,76233.23187588078
2025-04-07,76919.88747388404
2025-04-07,76790.25609208614
2025-04-07,77203.88350041474
2025-04-07,78421.18308496752
2025-04-07,79250.75260353838
2025-04-07,78444.4226404733
2025-04-07,77421.74966092409
2025-04-07,79063.49516004637
2025-04-07,78467.73933090719
2025-04-07,78046.94250227706
2025-04-07,78824.84561495368
2025-04-07,79172.2817090801
2025-04-07,79898.18473633853
2025-04-07,79462.14204389678
2025-04-07,78928.09866658547
2025-04-07,80678.70925924664
2025-04-07,79900.64902994683
2025-04-07,79875.47993646495
2025-04-07,80007.32341078427
2025-04-07,79799.90914623915
2025-04-08,79411.29383844102
2025-04-08,79446.76021326096
2025-04-08,79090.38478456163
2025-04-08,78932.56330430893
2025-04-08,78970.69563692114
2025-04-08,79860.58407289122
2025-04-08,79830.81203946835
2025-04-08,79839.36409691784
2025-04-08,78772.54353637139
2025-04-08,78407.02418753588
2025-04-08,77348.32262284741
2025-04-08,77268.01412263024
2025-04-08,77152.06625886497
2025-04-08,76748.49569818853
2025-04-08,76989.32782724098
2025-04-08,77011.48228778424
2025-04-08,76617.7575009251
2025-04-08,76300.77843824399
2025-04-08,76436.39359258307
2025-04-08,76006.86998159163
2025-04-08,75658.78700635744
2025-04-08,75101.3997278555
2025-04-08,76346.08636985684
2025-04-08,76610.86422122183
2025-04-09,76915.69399121219
2025-04-09,77711.09591952938
2025-04-09,77268.17847587695
2025-04-09,77316.05556408654
2025-04-09,77214.3488944691
2025-04-09,76129.73403043275
2025-04-09,76829.34847591358
2025-04-09,77860.31844171116
2025-04-09,77023.89133348042
2025-04-09,77141.99408276133
2025-04-09,78095.08055640166
2025-04-09,81841.29813646984
2025-04-09,81938.0185184143
2025-04-09,82328.13489688843
2025-04-09,83004.7027605787
2025-04-09,83315.43959137528
2025-04-09,83058.34775924393
2025-04-09,82595.42668033838
2025-04-09,82182.12470713933
2025-04-09,82285.79183047339
2025-04-09,82121.20904532197
2025-04-09,81720.2016936257
2025-04-09,82128.18344703503
2025-04-09,82189.87168997104
2025-04-10,81696.40122795808
2025-04-10,81618.62070888275
2025-04-10,81532.13745973041
2025-04-10,81656.71640958315
2025-04-10,81549.5629152091
2025-04-10,81773.4962941072
2025-04-10,81658.41593509233
2025-04-10,81024.51565768477
2025-04-10,81329.67668040557
2025-04-10,78835.58867030361
2025-04-10,79368.23940861579
2025-04-10,79297.99031979717
2025-04-10,79529.67606306932
2025-04-10,79724.89465979146
2025-04-10,79878.62357184727
2025-04-10,79709.36877328751
2025-04-10,79715.508089801
2025-04-10,79556.41318002685
2025-04-10,79086.09032816654
2025-04-10,80069.49594573223
2025-04-10,80322.94507383362
2025-04-10,80758.214835068
2025-04-10,80822.59872142244
2025-04-10,80747.36408765496
2025-04-11,81065.03226648102
2025-04-11,81251.15450032747
2025-04-11,81531.54534166763
2025-04-11,82296.44406983381
2025-04-11,82622.7737499299
2025-04-11,82096.00775002626
2025-04-11,82039.16991257631
2025-04-11,82687.66283280615
2025-04-11,81969.68431773817
2025-04-11,82480.3838471879
2025-04-11,82782.29915850204
2025-04-11,83874.22618739116
2025-04-11,83625.9499325832
2025-04-11,83820.09298809218
2025-04-11,83849.48096887217
2025-04-11,83687.0262905728
2025-04-11,83403.67277102497
2025-04-11,83437.92254404748
2025-04-11,83339.31246065375
2025-04-11,83170.65968986193
2025-04-11,82861.85819962031
2025-04-11,82961.51750754256
2025-04-11,83199.96650893788
2025-04-11,83303.79275397805
2025-04-12,83549.9107448874
2025-04-12,83704.62816108475
2025-04-12,83666.1312703991
2025-04-12,83500.54104423865
2025-04-12,83447.195072062
2025-04-12,83502.21970476018
2025-04-12,83737.13579117409
2025-04-12,84428.14749494086
2025-04-12,84884.66465071926
2025-04-12,85008.74302161673
2025-04-12,84687.53545478488
2025-04-12,84749.20272127507
2025-04-12,85106.24814466636
2025-04-12,84904.11727218305
2025-04-12,85528.04428969568
2025-04-12,85384.6852677325
2025-04-12,85369.94860925588
2025-04-12,85296.72976736756
2025-04-12,85464.59019442675
2025-04-12,85337.18790410843
2025-04-12,85232.85128493622
2025-04-12,85422.0967425296
2025-04-12,84667.07071059634
2025-04-12,84515.92251627243
2025-04-13,84710.09360463546
2025-04-13,84457.0360990321
2025-04-13,84585.13863461434
2025-04-13,84881.3367521123
2025-04-13,84668.81761593616
2025-04-13,84446.94289624105
2025-04-13,84436.51740072019
2025-04-13,83648.98919141645
2025-04-13,84031.22500638437
2025-04-13,83980.12231485195
2025-04-13,84210.62712650532
2025-04-13,84771.87106577087
2025-04-13,84731.50450347898
2025-04-13,84017.0882151789
2025-04-13,83438.00410089483
2025-04-13,83574.27265943393
2025-04-13,83330.90244768845
2025-04-13,83637.28172222206
